DateTime,Open,High,Low,Close,Volume
2025-05-08 10:15:00+05:30,161.85,162.83,161.01,161.45,641359
2025-05-08 11:15:00+05:30,161.38,161.45,160.72,160.86,246631
2025-05-08 12:15:00+05:30,160.85,161.77,160.1,160.44,323979
2025-05-08 13:15:00+05:30,160.44,160.84,158.39,158.55,588711
2025-05-08 14:15:00+05:30,158.43,159.39,157.3,157.52,896065
2025-05-08 15:15:00+05:30,157.5,157.64,156.05,156.26,542200
2025-05-09 09:15:00+05:30,153.99,157.0,153.43,156.93,1619446
2025-05-09 10:15:00+05:30,156.99,157.15,154.82,156.1,1996107
2025-05-09 11:15:00+05:30,156.09,157.39,155.67,157.27,451863
2025-05-09 12:15:00+05:30,157.25,157.95,156.12,156.4,851315
2025-05-09 13:15:00+05:30,156.39,156.6,155.67,156.14,1764672
2025-05-09 14:15:00+05:30,156.15,156.53,155.25,156.2,2377910
2025-05-09 15:15:00+05:30,156.2,157.19,156.0,157.19,1785951
2025-05-12 09:15:00+05:30,162.25,165.74,162.2,163.35,3647935
2025-05-12 10:15:00+05:30,163.35,164.24,163.19,163.48,973809
2025-05-12 11:15:00+05:30,163.48,163.79,161.7,162.01,589769
2025-05-12 12:15:00+05:30,162.05,162.79,161.8,162.01,284210
2025-05-12 13:15:00+05:30,162.01,163.35,161.91,163.28,394594
2025-05-12 14:15:00+05:30,163.28,163.78,163.06,163.41,580835
2025-05-12 15:15:00+05:30,163.41,163.9,163.01,163.15,1296702
2025-05-13 09:15:00+05:30,164.11,165.68,163.0,165.1,1438633
2025-05-13 10:15:00+05:30,165.09,165.15,163.77,164.04,434167
2025-05-13 11:15:00+05:30,164.04,164.52,163.86,164.1,394783
2025-05-13 12:15:00+05:30,164.1,164.18,162.84,163.14,377155
2025-05-13 13:15:00+05:30,163.15,163.22,162.05,162.2,399848
2025-05-13 14:15:00+05:30,162.2,162.64,162.02,162.39,564501
2025-05-13 15:15:00+05:30,162.4,162.7,162.23,162.7,307162
2025-05-14 09:15:00+05:30,163.25,165.5,161.75,164.92,2637556
2025-05-14 10:15:00+05:30,164.92,165.5,164.45,165.28,1156765
2025-05-14 11:15:00+05:30,165.38,166.2,165.0,165.67,1371473
2025-05-14 12:15:00+05:30,165.61,167.8,165.49,167.68,2622607
2025-05-14 13:15:00+05:30,167.59,167.75,166.88,167.09,986427
2025-05-14 14:15:00+05:30,167.04,167.34,166.78,167.09,1061096
2025-05-14 15:15:00+05:30,167.07,167.2,166.5,167.0,579784
2025-05-15 09:15:00+05:30,168.2,168.59,166.53,168.33,2404821
2025-05-15 10:15:00+05:30,168.33,168.73,166.62,166.8,849250
2025-05-15 11:15:00+05:30,166.91,167.93,166.76,167.27,603055
2025-05-15 12:15:00+05:30,167.39,168.3,166.9,168.23,1216867
2025-05-15 13:15:00+05:30,168.22,168.5,166.93,168.33,875569
2025-05-15 14:15:00+05:30,168.42,169.3,168.02,169.0,1333662
2025-05-15 15:15:00+05:30,169.0,169.25,168.5,168.9,458510
2025-05-16 09:15:00+05:30,168.89,170.89,168.25,169.26,1415697
2025-05-16 10:15:00+05:30,169.11,169.54,168.4,168.73,482346
2025-05-16 11:15:00+05:30,168.73,169.5,168.53,169.04,327783
2025-05-16 12:15:00+05:30,169.04,169.2,168.5,168.91,232544
2025-05-16 13:15:00+05:30,168.91,169.68,168.5,169.33,376648
2025-05-16 14:15:00+05:30,169.33,170.59,169.2,170.1,965288
2025-05-16 15:15:00+05:30,170.1,170.24,169.31,169.5,277201
2025-05-19 09:15:00+05:30,170.09,171.89,169.34,171.03,1106790
